Date,Open,Low,High,Close,Volume,Amount
2014-07-31 00:00:00,18.210,18.210,20.160,20.160,892,1797928.00
2014-08-01 00:00:00,22.180,22.180,22.180,22.180,246,545406.00
2014-08-04 00:00:00,24.400,24.400,24.400,24.400,382,932080.00
2014-08-05 00:00:00,26.840,26.840,26.840,26.840,542,1454674.00
2014-08-06 00:00:00,29.520,29.520,29.520,29.520,1800,5312980.00
2014-08-07 00:00:00,32.470,32.470,32.470,32.470,1660,5389305.00
2014-08-08 00:00:00,35.720,35.720,35.720,35.720,3661,13078240.00
2014-08-11 00:00:00,39.290,39.290,39.290,39.290,6707,26351290.00
2014-08-12 00:00:00,43.220,39.000,43.220,39.620,184440,754555600.00
2014-08-13 00:00:00,36.610,35.660,37.500,35.660,113770,410622000.00
2014-08-14 00:00:00,35.100,34.830,36.230,35.030,68898,243901400.00
2014-08-15 00:00:00,35.030,34.760,36.030,35.740,57631,204682600.00
2014-08-18 00:00:00,35.710,35.080,35.710,35.440,34719,122779000.00
2014-08-19 00:00:00,35.210,35.170,35.980,35.440,39432,140057000.00
2014-08-20 00:00:00,35.350,35.140,38.000,37.040,76134,278645100.00
2014-08-21 00:00:00,36.600,35.800,36.950,36.080,39963,145084000.00
2014-08-22 00:00:00,35.910,35.620,36.940,36.500,33203,120763300.00
2014-08-25 00:00:00,36.340,35.710,37.200,36.550,37246,135594700.00
2014-08-26 00:00:00,36.500,35.340,36.500,35.440,32078,114688800.00
2014-08-27 00:00:00,35.400,35.400,38.300,36.770,70269,259452100.00
2014-08-28 00:00:00,36.000,35.720,36.540,36.010,35900,129415900.00
2014-08-29 00:00:00,36.100,35.970,37.280,36.420,33991,124672500.00
2014-09-01 00:00:00,36.310,36.310,37.650,37.360,37617,139788300.00
2014-09-02 00:00:00,37.570,37.200,39.980,39.160,75691,292703600.00
2014-09-03 00:00:00,38.800,37.900,38.900,38.620,52765,202631300.00
2014-09-04 00:00:00,38.540,38.300,39.180,38.810,35995,139796800.00
2014-09-05 00:00:00,38.800,38.550,39.180,39.100,27174,105609600.00
2014-09-09 00:00:00,39.250,38.300,39.440,38.550,25035,96664640.00
2014-09-10 00:00:00,38.330,38.200,40.840,40.350,53546,212761200.00
2014-09-11 00:00:00,39.910,39.900,43.900,42.860,70608,299233200.00
2014-09-12 00:00:00,42.700,42.000,44.460,43.500,50414,219759900.00
2014-09-15 00:00:00,43.200,41.610,43.200,41.900,36486,153729300.00
2014-09-16 00:00:00,41.800,39.500,41.900,39.570,43097,175793500.00
2014-09-17 00:00:00,39.210,38.700,40.150,39.720,22379,88319180.00
2014-09-18 00:00:00,39.730,38.960,39.900,39.580,16994,67028780.00
2014-09-19 00:00:00,39.550,39.100,39.770,39.640,13883,54933580.00
2014-09-22 00:00:00,39.580,37.880,39.580,37.890,23341,89462000.00
2014-09-23 00:00:00,37.800,37.800,38.490,38.390,15468,59131660.00
2014-09-24 00:00:00,38.250,38.130,38.690,38.590,14046,54070240.00
2014-09-25 00:00:00,38.650,38.500,38.990,38.610,15060,58283570.00
2014-09-26 00:00:00,38.340,38.110,38.900,38.730,13436,51732320.00
2014-09-29 00:00:00,38.980,38.850,40.230,40.200,25766,102537300.00
2014-09-30 00:00:00,40.250,39.780,40.390,40.170,16035,64237650.00
2014-10-08 00:00:00,40.210,39.510,41.800,41.520,27145,110742800.00
2014-10-09 00:00:00,41.420,40.990,42.100,42.010,25626,106491600.00
2014-10-10 00:00:00,41.740,41.500,42.880,41.650,26210,110571200.00
2014-10-13 00:00:00,41.000,40.540,42.050,42.030,17500,72198290.00
2014-10-14 00:00:00,41.800,41.500,42.700,41.750,16538,69496430.00
2014-10-15 00:00:00,41.850,41.310,43.700,43.300,32427,138802300.00
2014-10-16 00:00:00,43.000,42.830,44.850,43.300,32628,143225400.00
2014-10-17 00:00:00,43.200,41.550,44.550,43.960,34451,149183000.00
2014-10-20 00:00:00,43.760,43.350,44.660,43.680,15817,69531420.00
2014-10-21 00:00:00,43.890,43.510,45.580,44.880,28395,126980700.00
2014-10-22 00:00:00,44.350,42.580,44.600,42.980,30059,130629000.00
2014-10-23 00:00:00,42.690,41.780,42.880,42.440,14855,62761900.00
2014-10-24 00:00:00,42.440,40.000,43.080,40.280,20032,83678800.00
2014-10-27 00:00:00,40.200,38.910,40.220,39.110,19151,75658240.00
2014-10-28 00:00:00,39.510,39.510,41.230,41.200,17803,71908420.00
2014-10-29 00:00:00,41.340,41.330,42.300,41.810,16676,69865210.00
2014-10-30 00:00:00,41.790,41.520,42.350,41.760,13596,57035700.00
2014-10-31 00:00:00,41.880,41.330,42.780,42.200,25757,108003300.00
2014-11-03 00:00:00,42.500,41.800,42.650,42.160,24280,102393700.00
2014-11-04 00:00:00,42.020,40.460,42.230,40.740,28388,117226200.00
2014-11-05 00:00:00,40.500,40.320,41.290,40.890,10253,41945870.00
2014-11-06 00:00:00,41.200,40.800,42.780,42.650,30745,129446400.00
2014-11-07 00:00:00,42.750,41.800,43.490,41.990,30164,128843800.00
2015-04-21 00:00:00,46.190,46.190,46.190,46.190,121,561162.00
2015-04-22 00:00:00,50.810,50.810,50.810,50.810,85,434374.00
2015-04-23 00:00:00,55.890,55.890,55.890,55.890,2101,11744950.00
2015-04-24 00:00:00,61.480,56.130,61.480,57.680,75798,448517600.00
2015-04-27 00:00:00,56.480,54.850,58.390,54.850,41710,234381700.00
2015-04-28 00:00:00,55.220,51.430,55.370,51.900,26004,137437300.00
2015-04-29 00:00:00,51.900,51.900,53.980,53.250,17188,91013080.00
2015-04-30 00:00:00,53.350,52.150,53.500,52.500,15166,79987140.00
